latitude_deg,longitude_deg,STATE,IATA
41.58679962,-83.80780029,Ohio,TOL
42.77870178,-84.58740234,Michigan,LAN
26.17580032,-98.23860168,Texas,MFE
35.43360138,-119.0569992,California,BFL
33.30780029,-111.6549988,Arizona,AZA
38.37680054,-121.961998,California,
38.03699875,-87.53240204,Indiana,EVV
46.77270126,-100.7460022,North Dakota,BIS
30.58860016,-96.36380005,Texas,CLL
40.72880173,-73.41339874,New York,FRG
37.036389,-113.510306,Utah,SGU
37.332901,-121.8190002,California,RHV
32.446602,-93.8256,Louisiana,SHV
42.9654007,-83.74359894,Michigan,FNT
41.25310135,-70.06020355,Massachusetts,ACK
34.89889908,-120.4570007,California,SMX
39.64260101,-106.9179993,Colorado,EGE
41.33010101,-72.04509735,Connecticut,GON
45.540401,-122.949997,Oregon,HIO
32.82619858,-116.9720001,California,SEE
40.47710037,-88.91590118,Illinois,BMI
41.44850159,-90.50749969,Illinois,MLI
45.77750015,-111.1529999,Montana,BZN
42.15990067,-76.89160156,New York,ELM
40.50899887,-122.2929993,California,RDD
31.61129951,-97.23049927,Texas,ACT
39.12319946,-94.59279633,Missouri,MKC
43.1072998,-78.94619751,New York,IAG
42.49100113,-76.45839691,New York,ITH
36.92610168,-111.447998,Arizona,PGA
38.03039932,-120.4150009,California,COA
48.52199936,-123.0240021,Washington,FRD
33.87200165,-117.9800034,California,FUL
33.57419968,-117.1279984,California,RBK
38.25780106,-122.6060028,California,
37.68899918,-121.4420013,California,
40.66419983,-89.69329834,Illinois,PIA
33.36989975,-81.96450043,Georgia,AGS
41.15570068,-104.8119965,Wyoming,CYS
43.07789993,-70.82330322,New Hampshire,PSM
40.27669907,-74.81349945,New Jersey,TTN
29.26530075,-94.86039734,Texas,GLS
34.20080185,-119.2070007,California,OXR
39.31999969,-120.1399994,California,TKF
44.2580986,-88.51909637,Wisconsin,ATW
37.51340103,-122.5009995,California,HAF
36.475201,-82.407401,Tennessee,TRI
32.30059814,-86.39399719,Alabama,MGM
41.16350174,-73.12619781,Connecticut,BDR
44.74140167,-85.5821991,Michigan,TVC
40.12170029,-76.2960968,Pennsylvania,LNS
35.15739822,-114.5599976,Arizona,IFP
39.90879822,-105.1169968,Colorado,BJC
41.19589996,-112.012001,Utah,OGD
27.49510002,-80.36830139,Florida,FPR
41.73669815,-72.6493988,Connecticut,HFD
30.3362999,-81.51439667,Florida,CRG
24.726101,-81.051399,Florida,MTH
32.68090057,-96.86820221,Texas,RBD
38.14360046,-122.5559998,California,NOT
39.45759964,-74.57720184,New Jersey,ACY
41.62659836,-73.88420105,New York,POU
32.57229996,-116.9800034,California,SDM
36.2480011,-120.237999,California,
36.01819992,-75.6713028,North Carolina,FFA
34.571098,-114.358002,Arizona,HII
33.80339813,-118.3399963,California,TOA
42.19540024,-89.09719849,Illinois,RFD
34.99119949,-78.88030243,North Carolina,FAY
41.66930008,-70.28040314,Massachusetts,HYA
43.879002,-91.256699,Wisconsin,LSE
37.62580109,-120.9540024,California,MOD
46.26470184,-119.1190033,Washington,PSC
42.26729965,-71.8757019,Massachusetts,ORH
33.77909851,-84.52140045,Georgia,FTY
38.55390167,-121.2979965,California,MHR
32.954899,-111.766998,Arizona,CGZ
33.2691,-111.810997,Arizona,
33.97470093,-117.637001,California,CNO
32.22439957,-80.69750214,South Carolina,HHH
26.92020035,-81.9905014,Florida,PGD
42.908001,-106.463997,Wyoming,CPR
35.33660126,-94.36740112,Arkansas,FSM
33.94860077,-83.32630157,Georgia,AHN
25.90679932,-97.42590332,Texas,BRO
47.949299,-97.176102,North Dakota,GFK
43.514599,-112.070999,Idaho,IDA
37.89419937,-121.237999,California,SCK
33.61920166,-114.7170029,California,BLH
25.6479,-80.4328,Florida,TMB
40.15069962,-122.2519989,California,RBL
31.1518,-81.391296,Georgia,SSI
38.95479965,-121.0820007,California,AUN
37.82839966,-121.6259995,California,
40.87519836,-74.28140259,New Jersey,CDW
39.41759872,-77.3742981,Maryland,FDK
38.72140121,-77.51540375,Virginia,MNZ
44.82720184,-93.45709991,Minnesota,FCM
35.53419876,-97.64710236,Oklahoma,PWA
31.35770035,-100.4960022,Texas,SJT
32.35409927,-95.40239716,Texas,TYR
41.2417984,-76.9210968,Pennsylvania,IPT
42.40919876,-83.00990295,Michigan,DET
33.95190048,-117.4449997,California,RAL
34.74110031,-118.2190018,California,WJF
33.62670135,-116.1600037,California,TRM
40.84930038,-77.84870148,Pennsylvania,SCE
42.7817,-71.514801,New Hampshire,ASH
29.17259979,-82.22419739,Florida,OCF
37.70100021,-113.098999,Utah,CDC
35.2594986,-113.9380035,Arizona,IGM
32.41130066,-99.68190002,Texas,ABI
36.66279984,-121.6060028,California,SNS
40.0798,-83.072998,Ohio,OSU
37.38050079,-120.5680008,California,MER
34.01319885,-84.59860229,Georgia,
42.89839935,-72.27079773,New Hampshire,EEN
37.1515007,-107.7539978,Colorado,DRO
43.572701,-71.4189,New Hampshire,LCI
33.97809982,-83.96240234,Georgia,LZU
39.22029877,-106.3170013,Colorado,LXV
39.00030136,-119.7509995,Nevada,MEV
42.07189941,-70.2213974,Massachusetts,PVC
47.49309921,-122.2160034,Washington,RNT
32.14220047,-111.1750031,Arizona,
30.4832,-86.525398,Florida,VPS
26.22850037,-97.65440369,Texas,HRL
43.34120178,-73.61029816,New York,GFL
29.62229919,-95.65650177,Texas,SGR
32.83420181,-115.5790024,California,IPL
39.79539871,-121.8580017,California,CIC
38.7242012,-120.7529984,California,PVF
37.08160019,-121.5970001,California,
28.062901,-81.753304,Florida,GIF
42.08312701,-80.17386675,Pennsylvania,ERI
32.51089859,-92.03769684,Louisiana,MLU
46.60680008,-111.9830017,Montana,HLN
27.54380035,-99.46160126,Texas,LRD
30.212099,-85.6828,Florida,
